Phase H4.0 Municipality Layer Audit

Global:
  municipality_ids in substrate: 141
  mun1990_ids represented: 0
  missing from mun1990_names: 0
  missing from post1995 mapping: 0
  name mismatch (names vs mapping): 0
  census_available: true, census_settlement_count: 6140

Per municipality (stable-sorted by municipality_id):
  11614 | Titov Drvar | mun1990: (missing/conflict) | settlements: 25 (in_graph: 25, ungraphed: 0) | control RBiH=0 RS=25 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11622 | Tešanj | mun1990: (missing/conflict) | settlements: 13 (in_graph: 13, ungraphed: 0) | control RBiH=13 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  20010 | Banja Luka | mun1990: (missing/conflict) | settlements: 54 (in_graph: 54, ungraphed: 0) | control RBiH=0 RS=54 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  20028 | Stolac | mun1990: (missing/conflict) | settlements: 20 (in_graph: 19, ungraphed: 1) | control RBiH=0 RS=0 HRHB=19 null=1 | null%=5 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=true ungraphed_gt_0=true
  20036 | Bijeljina | mun1990: (missing/conflict) | settlements: 67 (in_graph: 67, ungraphed: 0) | control RBiH=0 RS=67 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  20044 | Bileća | mun1990: (missing/conflict) | settlements: 60 (in_graph: 59, ungraphed: 1) | control RBiH=0 RS=59 HRHB=0 null=1 | null%=1.67 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=true ungraphed_gt_0=true
  20052 | Bratunac | mun1990: (missing/conflict) | settlements: 50 (in_graph: 50, ungraphed: 0) | control RBiH=50 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  20079 | Bosanski Brod | mun1990: (missing/conflict) | settlements: 23 (in_graph: 23, ungraphed: 0) | control RBiH=0 RS=0 HRHB=23 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  20087 | Višegrad | mun1990: (missing/conflict) | settlements: 163 (in_graph: 163, ungraphed: 0) | control RBiH=163 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  20095 | Vlasenica | mun1990: (missing/conflict) | settlements: 38 (in_graph: 38, ungraphed: 0) | control RBiH=38 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  20109 | Odžak | mun1990: (missing/conflict) | settlements: 12 (in_graph: 12, ungraphed: 0) | control RBiH=0 RS=0 HRHB=12 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  20117 | Gacko | mun1990: (missing/conflict) | settlements: 71 (in_graph: 71, ungraphed: 0) | control RBiH=0 RS=71 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  20125 | Bosanska Gradiška | mun1990: (missing/conflict) | settlements: 68 (in_graph: 68, ungraphed: 0) | control RBiH=0 RS=68 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  20133 | Derventa | mun1990: (missing/conflict) | settlements: 57 (in_graph: 57, ungraphed: 0) | control RBiH=0 RS=0 HRHB=57 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  20141 | Doboj | mun1990: (missing/conflict) | settlements: 83 (in_graph: 83, ungraphed: 0) | control RBiH=0 RS=83 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  20150 | Orašje | mun1990: (missing/conflict) | settlements: 6 (in_graph: 6, ungraphed: 0) | control RBiH=0 RS=0 HRHB=6 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  20168 | Zvornik | mun1990: (missing/conflict) | settlements: 68 (in_graph: 68, ungraphed: 0) | control RBiH=68 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  20176 | Ilidža | mun1990: (missing/conflict) | settlements: 5 (in_graph: 5, ungraphed: 0) | control RBiH=5 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  20184 | Titov Drvar | mun1990: (missing/conflict) | settlements: 3 (in_graph: 2, ungraphed: 1) | control RBiH=0 RS=3 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=true
  20192 | Mostar | mun1990: (missing/conflict) | settlements: 3 (in_graph: 3, ungraphed: 0) | control RBiH=0 RS=0 HRHB=3 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  20206 | Novi Grad Sarajevo | mun1990: (missing/conflict) | settlements: 19 (in_graph: 19, ungraphed: 0) | control RBiH=15 RS=4 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  20214 | Stari Grad Sarajevo | mun1990: (missing/conflict) | settlements: 8 (in_graph: 8, ungraphed: 0) | control RBiH=6 RS=0 HRHB=0 null=2 | null%=25 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=true ungraphed_gt_0=false
  20222 | Jajce | mun1990: (missing/conflict) | settlements: 11 (in_graph: 11, ungraphed: 0) | control RBiH=0 RS=0 HRHB=11 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
